Names,2014,2015,2016
Alabama,92,95.2,91.1
Alaska,90.2,89.7,85.6
Arizona,84.1,90.6,87.7
Arkansas,89.1,90.2,92.1
California,90.5,92.8,89.3
Colorado,87.4,93.6,88.9
Connecticut,93.2,97.5,94.5
Delaware,90.8,97.2,93.8
District of Columbia,90.9,92.4,93.7
Florida,91.2,90.4,91.1
Georgia,94.2,90.5,93.2
Hawaii,92.5,94.7,91.8
Idaho,89.7,91.2,88.6
Illinois,93.2,91.6,94.4
Indiana,91.5,92,93
Iowa,91.1,95.5,96.2
Kansas,93.4,92.3,92.3
Kentucky,88.6,91.6,92.5
Louisiana,91.8,92.6,91.2
Maine,97.2,96,91.6
Maryland,94.9,95.4,93.2
Massachusetts,94.7,91.8,98.6
Michigan,87.4,90.6,86.4
Minnesota,94.3,92.6,92
Mississippi,95,89.8,90.8
Missouri,90.3,91.6,92.9
Montana,93.4,91.7,86
Nebraska,96,95.6,93.7
Nevada,90.4,93.7,90.5
New Hampshire,93.1,93.4,95.9
New Jersey,93.3,92.8,92.4
New Mexico,94.6,89.7,91.2
New York,93.1,92.5,94.2
North Carolina,94.3,94.3,93.3
North Dakota,94.9,92.8,89.2
Ohio,95.6,88.1,87.4
Oklahoma,92,92.6,89.7
Oregon,85.1,94.1,86.7
Pennsylvania,92,90.9,93
Rhode Island,94.6,94.5,95.4
South Carolina,90.8,88.5,93.5
South Dakota,94.1,91.4,93.6
Tennessee,95.8,90.2,86.2
Texas,90.4,92.5,89.8
Utah,85.3,89.2,88.6
Vermont,93.2,95.5,95.2
Virginia,91.5,83.4,90.4
Washington,86.3,95.3,91.1
West Virginia,88.9,86.7,89.6
Wisconsin,93.2,92.4,90.6
Wyoming,90.4,93.5,88.8
