Location,Case Count
Alabama,No Cases Reported
Alaska,No Cases Reported
Arizona,No Cases Reported
Arkansas,No Cases Reported
California,No Cases Reported
Colorado,No Cases Reported
Connecticut,2
Delaware,No Cases Reported
District of Columbia,No Cases Reported
Florida,No Cases Reported
Georgia,No Cases Reported
Hawaii,No Cases Reported
Idaho,No Cases Reported
Illinois,4
Indiana,No Cases Reported
Iowa,No Cases Reported
Kansas,No Cases Reported
Kentucky,1
Louisiana,No Cases Reported
Maine,No Cases Reported
Maryland,No Cases Reported
Massachusetts,No Cases Reported
Michigan,No Cases Reported
Minnesota,No Cases Reported
Mississippi,No Cases Reported
Missouri,No Cases Reported
Montana,No Cases Reported
Nebraska,No Cases Reported
Nevada,No Cases Reported
New Hampshire,No Cases Reported
New Jersey,No Cases Reported
New Mexico,No Cases Reported
New York,11
New York City,126
North Carolina,No Cases Reported
North Dakota,No Cases Reported
Ohio,No Cases Reported
Oklahoma,No Cases Reported
Oregon,6
Pennsylvania,No Cases Reported
Rhode Island,No Cases Reported
South Carolina,No Cases Reported
South Dakota,No Cases Reported
Tennessee,No Cases Reported
Texas,8
Utah,No Cases Reported
Vermont,No Cases Reported
Virginia,No Cases Reported
Washington,2
West Virginia,No Cases Reported
Wisconsin,No Cases Reported
Wyoming,No Cases Reported
American Samoa,No Cases Reported
Guam,No Cases Reported
Puerto Rico,No Cases Reported
