Names,1995,LL,UL,CI,SAMPLE SIZE,TARGET,1996,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,1997,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,1998,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,1999,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2000,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2001,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2002,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2003,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2004,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2005,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2006,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2007,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2008,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2009,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2010,LL,UL,CI,SAMPLE SIZE,TARGET,2011,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2012,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2013,LL,UL,CI,SAMPLE SIZE,TARGET,2014,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2015,LL,UL,CI,SAMPLE SIZE,TARGET,DIFFERENCE TO PREVIOUS YEAR,2016,LL,UL,CI,SAMPLE SIZE,TARGET,2017,LL,UL,CI,SAMPLE SIZE,TARGET,1995,LL,UL,CI,SAMPLE SIZE,TARGET,1996,LL,UL,CI,SAMPLE SIZE,TARGET,1997,LL,UL,CI,SAMPLE SIZE,TARGET,1998,LL,UL,CI,SAMPLE SIZE,TARGET,1999,LL,UL,CI,SAMPLE SIZE,TARGET,2000,LL,UL,CI,SAMPLE SIZE,TARGET,2001,LL,UL,CI,SAMPLE SIZE,TARGET,2002,LL,UL,CI,SAMPLE SIZE,TARGET,2003,LL,UL,CI,SAMPLE SIZE,TARGET,2004,LL,UL,CI,SAMPLE SIZE,TARGET,2005,LL,UL,CI,SAMPLE SIZE,TARGET,2006,LL,UL,CI,SAMPLE SIZE,TARGET,2007,LL,UL,CI,SAMPLE SIZE,TARGET,2008,LL,UL,CI,SAMPLE SIZE,TARGET,2009,LL,UL,CI,SAMPLE SIZE,TARGET,2010,LL,UL,CI,SAMPLE SIZE,TARGET,2011,LL,UL
Alabama,88.9,83.5,92.7,(±4.5),419,90,90.1,85.7,93.3,(±3.8),574,90,NaN,93.7,90.8,95.7,(±2.4),589,90,NaN,95.1,92.3,96.9,(±2.2),545,90,NaN,89.3,84.8,92.6,(±3.9),568,90,NaN,86.8,81.8,90.5,(±4.3),580,90,NaN,94.3,91.4,96.3,(±2.4),592,90,NaN,91.6,87.2,94.5,(±3.6),525,90,NaN,91.2,86.7,94.3,(±3.7),532,90,NaN,91.8,86,95.3,(±4.5),515,90,NaN,94.1,90.3,96.5,(±3),419,90,NaN,94,88.5,97,(±4),269,90,NaN,95,91.3,97.1,(±2.8),254,90,NaN,93.6,88.6,96.5,(±3.8),339,90,NaN,95.4,91.4,97.6,(±2.9),249,90,NaN,95.4,92.5,97.2,(±2.3),336,90,94,90.3,96.3,(±2.9),399,90,NaN,93.1,88.7,95.9,(±3.5),265,90,NaN,89.7,82.3,94.3,(±5.8),166,90,92,84.3,96.1,(±5.6),237,90,NaN,95.2,90.2,97.7,(±3.5),272,90,NaN,91.1,85,94.8,(±4.8),249,90,92.3,87.5,95.4,(±3.8),295,90,13.2,9.2,18.7,(±4.7),419,,29,24.3,34.1,(±4.9),574,,40.1,34.6,45.8,(±5.6),589,,47.4,42,52.9,(±5.5),545,,38.2,32.7,43.9,(±5.6),568,,43.7,37.8,49.7,(±6),580,,49.4,43.8,55.1,(±5.7),592,,48.2,42.1,54.3,(±6.1),525,,46.9,40.6,53.4,(±6.4),532,,41.3,34.6,48.2,(±6.8),515,,48.1,40.9,55.4,(±7.3),419,,48.1,40.7,55.5,(±7.4),269,,50.2,42.8,57.7,(±7.5),254,,50.7,44.2,57.1,(±6.5),339,,48.1,40,56.4,(±8.3),249,,49.4,43.3,55.6,(±6.2),336,,54,47.4,60.5
AL-Jefferson County,93.7,88.7,96.6,(±3.8),213,90,92.9,88.5,95.7,(±3.5),273,90,NaN,93.8,89.9,96.3,(±3.1),286,90,NaN,94.5,90.7,96.9,(±3),260,90,NaN,95.2,91.6,97.3,(±2.7),264,90,NaN,87.4,81.9,91.4,(±4.7),294,90,NaN,93.2,88.3,96.2,(±3.8),277,90,NaN,91.1,85.8,94.6,(±4.3),258,90,NaN,94.1,89.5,96.7,(±3.4),252,90,NaN,89.4,82.7,93.7,(±5.4),273,90,NaN,92.5,86.3,96,(±4.6),208,90,NaN,,NaN,NaN,NA,,90,NaN,,NaN,NaN,NA,,90,NaN,,NaN,NaN,NA,,90,NaN,,NaN,NaN,NA,,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,90,,NaN,NaN,NA,,90,8.2,4.7,13.8,(±4.4),213,,30.7,24.7,37.4,(±6.4),273,,31.9,26.4,37.9,(±5.8),286,,41.2,34.6,48.1,(±6.8),260,,43.5,36.6,50.6,(±7.1),264,,39.7,33.4,46.4,(±6.5),294,,43,36,50.4,(±7.2),277,,39.3,32,47.1,(±7.6),258,,39.9,32.7,47.6,(±7.5),252,,39.5,32,47.6,(±7.9),273,,46.2,38.3,54.2,(±8),208,,,NaN,NaN,NA,,,,NaN,NaN,NA,,,,NaN,NaN,NA,,,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AL-Rest of State,88,81.6,92.3,(±5.3),206,90,89.6,84.3,93.2,(±4.4),301,90,NaN,93.7,90.2,96,(±2.8),303,90,NaN,95.2,91.9,97.2,(±2.5),285,90,NaN,88.3,82.9,92.1,(±4.5),304,90,NaN,86.6,80.8,90.9,(±5),286,90,NaN,94.5,91.1,96.7,(±2.7),315,90,NaN,91.7,86.5,95,(±4.2),267,90,NaN,90.7,85.4,94.3,(±4.3),280,90,NaN,92.2,85.1,96.1,(±5.2),242,90,NaN,94.4,89.8,97,(±3.4),211,90,NaN,94,88.5,97,(±4),269,90,NaN,95,91.3,97.1,(±2.8),254,90,NaN,93.6,88.6,96.5,(±3.8),339,90,NaN,95.4,91.4,97.6,(±2.9),249,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,90,,NaN,NaN,NA,,90,14.2,9.5,20.7,(±5.6),206,,28.6,23.3,34.7,(±5.7),301,,41.6,35.2,48.2,(±6.5),303,,48.5,42.2,54.8,(±6.3),285,,37.2,31,43.9,(±6.5),304,,44.4,37.6,51.4,(±7),286,,50.6,44,57.1,(±6.6),315,,49.8,42.7,56.8,(±7.1),267,,48.2,40.8,55.6,(±7.4),280,,41.6,33.9,49.6,(±7.9),242,,48.5,40.1,56.9,(±8.5),211,,48.1,40.7,55.5,(±7.4),269,,50.2,42.8,57.7,(±7.5),254,,50.7,44.2,57.1,(±6.5),339,,48.1,40,56.4,(±8.3),249,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Alaska,89.9,84.2,93.7,(±4.7),195,90,83.7,78,88.1,(±5),263,90,NaN,86.8,81.8,90.6,(±4.4),293,90,NaN,89.7,85.6,92.8,(±3.5),305,90,NaN,90.9,86.4,94,(±3.7),351,90,NaN,87.9,83.3,91.4,(±4),295,90,NaN,87.8,83.1,91.3,(±4.1),292,90,NaN,88.7,83.4,92.5,(±4.5),262,90,NaN,90.7,86,94,(±3.9),278,90,NaN,89.7,83.8,93.7,(±4.8),299,90,NaN,90.8,85.1,94.4,(±4.5),186,90,NaN,85.7,79.8,90.1,(±5.1),240,90,NaN,89.7,84.8,93.2,(±4.1),222,90,NaN,88.4,82.4,92.6,(±5),250,90,NaN,85.2,78.4,90.1,(±5.8),192,90,NaN,88.4,83.9,91.8,(±3.9),269,90,90.8,86.1,94,(±3.9),278,90,NaN,86.2,80.3,90.5,(±5.1),298,90,NaN,90.5,86.2,93.5,(±3.6),299,90,90.2,85,93.7,(±4.3),276,90,NaN,89.7,85,93.1,(±4.0),295,90,NaN,85.6,80.1,89.8,(±4.8),288,90,89.3,84.6,92.7,(±4),251,90,11.2,7.1,17.3,(±5),195,,15.6,11.5,20.8,(±4.6),263,,24.4,19.4,30.1,(±5.4),293,,25.2,20.2,30.9,(±5.4),305,,37.6,32.1,43.4,(±5.7),351,,45,38.9,51.2,(±6.2),295,,37,31.2,43.3,(±6.1),292,,37.9,31.7,44.6,(±6.5),262,,44.8,38.1,51.6,(±6.8),278,,43.3,36.2,50.7,(±7.3),299,,43.9,36.2,51.9,(±7.9),186,,42.2,35.4,49.4,(±7),240,,53.2,45.7,60.7,(±7.6),222,,37.9,31.1,45.3,(±7.1),250,,40,32.5,47.9,(±7.8),192,,37.6,31.1,44.4,(±6.7),269,,42.5,35.1,50.3
Arizona,82.7,77.3,87.1,(±4.8),374,90,85.2,81.2,88.4,(±3.6),517,90,NaN,88,84.5,90.7,(±3.1),560,90,NaN,87.7,84,90.7,(±3.3),522,90,NaN,87.1,83,90.3,(±3.6),569,90,NaN,88.1,84.7,90.7,(±3),595,90,NaN,88.8,85.5,91.4,(±2.9),592,90,NaN,88.9,85.5,91.7,(±3.1),558,90,NaN,91.5,88.5,93.9,(±2.7),612,90,NaN,92.9,89.9,95.1,(±2.5),603,90,NaN,88.8,84.6,92,(±3.6),432,90,NaN,87.7,83.7,90.8,(±3.5),518,90,NaN,89,83.3,92.9,(±4.8),275,90,NaN,92.2,86.5,95.6,(±4.4),275,90,NaN,90.8,86.5,93.8,(±3.6),317,90,NaN,87.7,82,91.8,(±4.9),299,90,86.7,78.5,92,(±6.7),279,90,NaN,88.3,82.4,92.3,(±4.9),272,90,NaN,91.4,87,94.4,(±3.7),254,90,84.1,76.7,89.4,(±6.3),292,90,NaN,90.6,85.6,94,(±4.1),266,90,NaN,87.7,80.7,92.3,(±5.7),230,90,91.7,87,94.8,(±3.9),265,90,13.1,9.3,18.2,(±4.4),374,,24,20.1,28.4,(±4.1),517,,27.1,23,31.7,(±4.3),560,,35.9,31.3,40.9,(±4.8),522,,39.4,34.7,44.3,(±4.8),569,,48.4,43.5,53.3,(±4.9),595,,50.1,45.4,54.7,(±4.7),592,,53.9,48.9,58.8,(±4.9),558,,56.5,51.8,61.1,(±4.6),612,,60,55,64.8,(±4.9),603,,57.7,51.9,63.4,(±5.8),432,,53.8,48.7,58.8,(±5.1),518,,58.4,50.9,65.5,(±7.3),275,,60.6,53.4,67.4,(±7),275,,62.8,56.1,69,(±6.5),317,,53.8,47,60.4,(±6.7),299,,58.4,49.1,67.1
AZ-Maricopa County,82.4,74.4,88.2,(±6.9),183,90,88.1,83.1,91.8,(±4.3),252,90,NaN,88.8,83.8,92.4,(±4.2),272,90,NaN,88.3,83,92.1,(±4.5),244,90,NaN,86.1,80.2,90.5,(±5.1),253,90,NaN,87.1,82.4,90.7,(±4.1),307,90,NaN,88.6,84.1,92,(±3.9),295,90,NaN,91.3,86.4,94.5,(±4),290,90,NaN,92,87.8,94.8,(±3.4),318,90,NaN,91.8,87.5,94.7,(±3.5),325,90,NaN,87.6,81.6,91.8,(±5),222,90,NaN,87.3,81.8,91.3,(±4.7),294,90,NaN,,NaN,NaN,NA,,90,NaN,,NaN,NaN,NA,,90,NaN,,NaN,NaN,NA,,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,90,,NaN,NaN,NA,,90,15.2,9.7,23,(±6.6),183,,27.6,21.9,34.1,(±6.1),252,,29.5,23.7,36.1,(±6.2),272,,36.8,30.4,43.8,(±6.7),244,,37.8,31.3,44.7,(±6.7),253,,49.8,43,56.5,(±6.8),307,,52.3,45.8,58.6,(±6.4),295,,60.6,53.7,67.1,(±6.7),290,,59.7,53.5,65.6,(±6.1),318,,64.5,57.9,70.5,(±6.3),325,,62.5,54.7,69.8,(±7.6),222,,56,49.4,62.3,(±6.5),294,,,NaN,NaN,NA,,,,NaN,NaN,NA,,,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AZ-Rest of State,83.3,75.8,88.8,(±6.5),191,90,80.9,74.1,86.3,(±6.1),265,90,NaN,86.6,81.5,90.5,(±4.5),288,90,NaN,86.7,81.1,90.8,(±4.8),278,90,NaN,88.7,83,92.6,(±4.7),316,90,NaN,89.7,84.9,93.1,(±4.1),288,90,NaN,89.1,84.1,92.6,(±4.2),297,90,NaN,84.8,79.3,89,(±4.8),268,90,NaN,90.7,85.6,94.2,(±4.2),294,90,NaN,95,90.7,97.3,(±3.1),278,90,NaN,91.1,85.6,94.6,(±4.4),210,90,NaN,88.5,82.5,92.7,(±5),224,90,NaN,89,83.3,92.9,(±4.8),275,90,NaN,92.2,86.5,95.6,(±4.4),275,90,NaN,90.8,86.5,93.8,(±3.6),317,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,90,,NaN,NaN,NA,,90,10.2,6.2,16.5,(±5),191,,18.7,14.3,24.2,(±4.9),265,,23.5,18.5,29.3,(±5.4),288,,34.5,28.4,41.2,(±6.4),278,,42,35.8,48.5,(±6.4),316,,46.1,39.6,52.7,(±6.6),288,,46.3,40.1,52.5,(±6.2),297,,42.1,35.5,49,(±6.8),268,,50.6,43.6,57.5,(±7),294,,52,44.2,59.7,(±7.8),278,,48.6,40.3,57,(±8.4),210,,49.6,41.7,57.5,(±8),224,,58.4,50.9,65.5,(±7.3),275,,60.6,53.4,67.4,(±7),275,,62.8,56.1,69,(±6.5),317,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Arkansas,90.8,85.4,94.4,(±4.4),237,90,85.3,78.6,90.1,(±5.7),265,90,NaN,92.2,88.6,94.7,(±3),334,90,NaN,87.6,82.9,91.1,(±4.1),311,90,NaN,85.1,77.9,90.3,(±6.2),291,90,NaN,88,82.6,91.9,(±4.6),298,90,NaN,89.1,84.2,92.6,(±4.2),392,90,NaN,92.8,88.7,95.5,(±3.3),286,90,NaN,90.6,84.7,94.4,(±4.7),253,90,NaN,94.6,90.6,96.9,(±3),270,90,NaN,89,80.8,93.9,(±6.4),174,90,NaN,85.8,77.5,91.3,(±6.8),207,90,NaN,92.5,88.8,95.1,(±3.1),347,90,NaN,92.2,87,95.4,(±4.1),347,90,NaN,81.8,75,87,(±6),298,90,NaN,90.5,85.3,93.9,(±4.2),341,90,93.7,89.7,96.2,(±3.2),322,90,NaN,92.3,87.2,95.4,(±4.0),274,90,NaN,88.3,81.1,93,(±5.9),188,90,89.1,82.4,93.4,(±5.4),245,90,NaN,90.2,84,94.2,(±5.0),229,90,NaN,92.1,86.5,95.5,(±4.4),229,90,92.6,87.7,95.7,(±3.9),258,90,,NaN,NaN,NA,,,10,6.5,15.1,(±4.2),265,,25.1,20.2,30.7,(±5.3),334,,28.8,23.8,34.5,(±5.4),311,,34.5,28.1,41.6,(±6.8),291,,40.5,34.1,47.2,(±6.6),298,,40.1,34.5,46,(±5.8),392,,39.5,33,46.5,(±6.8),286,,55.4,47.5,63.1,(±7.9),253,,50,42.2,57.8,(±7.9),270,,42.7,33.7,52.2,(±9.4),174,,42.9,34.1,52.2,(±9.2),207,,45.2,38.4,52.1,(±6.9),347,,47.9,40.8,55.1,(±7.2),347,,38.1,31.6,45.1,(±6.8),298,,49.1,42.2,55.9,(±6.9),341,,50.4,42.5,58.3
California,90.2,86.1,93.2,(±3.5),687,90,90.5,87.6,92.8,(±2.6),1056,90,NaN,88.4,85.3,91,(±2.9),1104,90,NaN,91,88,93.3,(±2.6),1014,90,NaN,91.8,88.5,94.2,(±2.8),1131,90,NaN,89.4,85.8,92.2,(±3.1),1241,90,NaN,90.8,87.8,93.1,(±2.6),1266,90,NaN,90.4,87.1,92.9,(±2.9),1101,90,NaN,92.8,89.9,94.9,(±2.5),1074,90,NaN,93.1,90.7,95,(±2.1),1144,90,NaN,91.6,88.6,93.8,(±2.6),816,90,NaN,92.8,89.6,95.1,(±2.7),1548,90,NaN,94.6,91.7,96.5,(±2.4),1000,90,NaN,92.7,89.4,95.1,(±2.8),950,90,NaN,89.8,85.4,93,(±3.7),386,90,NaN,91.4,87.2,94.3,(±3.5),411,90,91,86.6,94.1,(±3.7),407,90,NaN,91.5,86.2,94.9,(±4.3),316,90,NaN,90.7,83.9,94.8,(±5.3),283,90,90.5,84.7,94.2,(±4.7),300,90,NaN,92.8,87.8,95.9,(±3.9),345,90,NaN,89.3,82.6,93.7,(±5.4),328,90,92.9,86.6,96.4,(±4.7),324,90,32.9,28,38.3,(±5.2),687,,42.3,38.2,46.6,(±4.2),1056,,41.3,37.3,45.5,(±4.1),1104,,45.6,41.5,49.8,(±4.2),1014,,47.1,43,51.3,(±4.1),1131,,51.6,47.4,55.7,(±4.2),1241,,51.9,47.7,56.1,(±4.2),1266,,53.7,49.5,57.9,(±4.2),1101,,55.3,50.9,59.6,(±4.4),1074,,57.5,53,61.9,(±4.5),1144,,55.1,49.8,60.2,(±5.2),816,,57.6,52.7,62.3,(±4.8),1548,,58.6,52.6,64.4,(±6),1000,,55.4,50.1,60.7,(±5.3),950,,57.8,51.5,63.8,(±6.2),386,,51.8,45.2,58.4,(±6.6),411,,52,45.4,58.4
CA-Alameda County,,NaN,NaN,NA,,90,,NaN,NaN,NA,,90,NaN,,NaN,NaN,NA,,90,NaN,,NaN,NaN,NA,,90,NaN,,NaN,NaN,NA,,90,NaN,,NaN,NaN,NA,,90,NaN,,NaN,NaN,NA,,90,NaN,,NaN,NaN,NA,,90,NaN,,NaN,NaN,NA,,90,NaN,,NaN,NaN,NA,,90,NaN,83.2,74.2,89.5,(±7.6),185,90,NaN,,NaN,NaN,NA,,90,NaN,91.6,86,95.1,(±4.4),298,90,NaN,,NaN,NaN,NA,,90,NaN,,NaN,NaN,NA,,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NA,,90,,NaN,NaN,NA,,90,,NaN,NaN,NA,,,,NaN,NaN,NA,,,,NaN,NaN,NA,,,,NaN,NaN,NA,,,,NaN,NaN,NA,,,,NaN,NaN,NA,,,,NaN,NaN,NA,,,,NaN,NaN,NA,,,,NaN,NaN,NA,,,,NaN,NaN,NA,,,40.9,32.6,49.8,(±8.7),185,,,NaN,NaN,NA,,,40.5,34.2,47,(±6.5),298,,,NaN,NaN,NA,,,,NaN,NaN,NA,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
