Region,Country,2011,2012,2013,2014,2015,2016,2017,2018,2019
Africa,Angola,192,4470,6564,12002,194,51,29,57,172
Africa,Democratic Republic of the Congo,1651,2332,2527,1649,6110,5463,3610,5621,1414
Africa,Ethiopia,3552,4616,6137,14282,20660,4577,1921,1351,0
Africa,Madagascar,1,3,7,1,10,20,85,23558,46187
Africa,Nigeria,19062,6423,55392,6850,15656,16438,11196,7018,3813
Americas,Brazil,0,2,192,708,214,0,0,10326,48
Americas,Canada,0,9,83,418,196,11,41,28,34
Americas,Colombia,6,1,1,0,1,0,0,209,73
Americas,United States of America,0,55,188,668,208,80,120,372,387
Americas,Venezuela (Bolivarian Republic of),0,1,0,0,0,1,727,5668,40
Eastern Mediterranean Region,Afghanistan,1384,2671,430,552,1185,641,1511,1899,36
Eastern Mediterranean Region,Egypt,26,241,412,2274,5398,217,23,24,33
Eastern Mediterranean Region,Pakistan,2676,8048,8030,1370,1117,2806,6780,33248,454
Eastern Mediterranean Region,Sudan,5616,8521,2811,676,3585,1767,665,4978,516
Eastern Mediterranean Region,Yemen,847,2143,571,817,465,143,2101,12617,0
Europe,France,15214,859,272,267,373,79,518,2913,313
Europe,Italy,5189,607,2256,3286,265,862,5393,2686,332
Europe,Kyrgyzstan,210,0,0,318,17779,0,5,1103,986
Europe,Romania,4170,6164,1158,59,8,2432,9072,1471,336
Europe,Ukraine,1313,12744,3308,2326,141,90,4782,53218,25319
South-East Asia Region,Bangladesh,4715,1804,292,336,359,1069,4001,2131,335
South-East Asia Region,India,0,0,0,80306,83026,70798,61288,68841,7246
South-East Asia Region,Indonesia,23510,16786,10093,9498,6209,7204,11389,5412,186
South-East Asia Region,Myanmar,1810,2164,1000,110,6,274,1246,1339,2131
South-East Asia Region,Thailand,2873,4072,2056,834,190,1009,2033,4938,2020
Western Pacific Region,China,9956,6100,27866,52536,42892,25593,5999,3866,285
Western Pacific Region,Malaysia,1603,1869,184,223,1322,1587,1693,2504,537
Western Pacific Region,Mongolia,0,0,0,0,20376,28710,9,2,2
Western Pacific Region,Philippines,6519,1441,4855,53906,2021,647,2409,20758,1802
Western Pacific Region,Viet Nam,745,636,1308,16606,884,520,591,2766,0
